"Date","Time","I","tempC","DO.meas","atmo.pressure","salinity"
"5-Dec-11","0:01:54",0,20.94,7.133,0.985816,0.2
"5-Dec-11","0:11:54",0,20.92,7.073,0.985816,0.2
"5-Dec-11","0:21:54",0,20.87,7.058,0.985816,0.2
"5-Dec-11","0:31:54",0,20.86,7.026,0.985816,0.2
"5-Dec-11","0:41:54",0,20.92,7.111,0.985816,0.2
"5-Dec-11","0:51:54",0,20.88,7.097,0.985816,0.2
"5-Dec-11","1:01:54",0,20.82,6.923,0.985816,0.2
"5-Dec-11","1:11:54",0,20.8,6.892,0.985816,0.2
"5-Dec-11","1:21:54",0,20.86,6.894,0.985816,0.2
"5-Dec-11","1:31:54",0,20.81,6.902,0.985816,0.2
"5-Dec-11","1:41:54",0,20.78,6.804,0.985816,0.2
"5-Dec-11","1:51:54",0,20.76,6.756,0.985816,0.2
"5-Dec-11","2:01:54",0,20.76,6.707,0.985816,0.2
"5-Dec-11","2:11:54",0,20.74,6.769,0.985816,0.2
"5-Dec-11","2:21:54",0,20.67,6.748,0.985816,0.2
"5-Dec-11","2:31:54",0,20.68,6.785,0.985816,0.2
"5-Dec-11","2:41:54",0,20.65,6.802,0.985816,0.2
"5-Dec-11","2:51:54",0,20.56,6.644,0.985816,0.2
"5-Dec-11","3:01:54",0,20.54,6.682,0.985816,0.2
"5-Dec-11","3:11:54",0,20.48,6.734,0.985816,0.2
"5-Dec-11","3:21:54",0,20.45,6.673,0.985816,0.2
"5-Dec-11","3:31:54",0,20.4,6.639,0.985816,0.2
"5-Dec-11","3:41:54",0,20.38,6.603,0.985816,0.2
"5-Dec-11","3:51:54",0,20.33,6.643,0.985816,0.2
"5-Dec-11","4:01:54",0,20.28,6.591,0.985816,0.2
"5-Dec-11","4:11:54",0,20.25,6.504,0.985816,0.2
"5-Dec-11","4:21:54",0,20.24,6.551,0.985816,0.2
"5-Dec-11","4:31:54",0,20.2,6.56,0.985816,0.2
"5-Dec-11","4:41:54",0.123624675,20.15,6.499,0.985816,0.2
"5-Dec-11","4:51:54",1.607120781,20.12,6.417,0.985816,0.2
"5-Dec-11","5:01:54",6.675732476,20.08,6.538,0.985816,0.2
"5-Dec-11","5:11:54",17.67832859,20.03,6.502,0.985816,0.2
"5-Dec-11","5:21:54",32.51328965,20,6.491,0.985816,0.2
"5-Dec-11","5:31:54",57.36184943,19.97,6.322,0.985816,0.2
"5-Dec-11","5:41:54",102.7321053,19.89,6.413,0.985816,0.2
"5-Dec-11","5:51:54",165.0389418,19.87,6.331,0.985816,0.2
"5-Dec-11","6:01:54",253.0597107,19.87,6.343,0.985816,0.2
"5-Dec-11","6:11:54",352.4539498,19.83,6.334,0.985816,0.2
"5-Dec-11","6:21:54",436.2714798,19.81,6.329,0.985816,0.2
"5-Dec-11","6:31:54",508.3446656,19.77,6.266,0.985816,0.2
"5-Dec-11","6:41:54",579.1816046,19.75,6.248,0.985816,0.2
"5-Dec-11","6:51:54",649.6476697,19.72,6.367,0.985816,0.2
"5-Dec-11","7:01:54",723.5752256,19.71,6.484,0.985816,0.2
"5-Dec-11","7:11:54",797.1319075,19.7,6.403,0.985816,0.2
"5-Dec-11","7:21:54",871.4303375,19.66,6.322,0.985816,0.2
"5-Dec-11","7:31:54",958.462109,19.65,6.267,0.985816,0.2
"5-Dec-11","7:41:54",1050.686117,19.63,6.272,0.985816,0.2
"5-Dec-11","7:51:54",1126.715292,19.64,6.305,0.985816,0.2
"5-Dec-11","8:01:54",1200.395599,19.68,6.598,0.985816,0.2
"5-Dec-11","8:11:54",1271.850661,19.72,6.608,0.985816,0.2
"5-Dec-11","8:21:54",1339.473359,19.73,6.58,0.985816,0.2
"5-Dec-11","8:31:54",1408.085054,19.8,6.852,0.985816,0.2
"5-Dec-11","8:41:54",1472.122636,19.87,6.968,0.985816,0.2
"5-Dec-11","8:51:54",1537.396464,19.95,7.075,0.985816,0.2
"5-Dec-11","9:01:54",1599.579676,20.04,7.015,0.985816,0.2
"5-Dec-11","9:11:54",1658.91952,20.08,6.93,0.985816,0.2
"5-Dec-11","9:21:54",1718.012115,20.13,6.948,0.985816,0.2
"5-Dec-11","9:31:54",1774.137718,20.18,6.846,0.985816,0.2
"5-Dec-11","9:41:54",1828.038076,20.24,7.017,0.985816,0.2
"5-Dec-11","9:51:54",1875.386327,20.3,7.154,0.985816,0.2
"5-Dec-11","10:01:54",1917.418717,20.37,7.158,0.985816,0.2
"5-Dec-11","10:11:54",1965.508716,20.42,7.259,0.985816,0.2
"5-Dec-11","10:21:54",2006.799357,20.5,7.31,0.985816,0.2
"5-Dec-11","10:31:54",2043.268636,20.57,7.363,0.985816,0.2
"5-Dec-11","10:41:54",2077.389047,20.67,7.433,0.985816,0.2
"5-Dec-11","10:51:54",2108.66609,20.76,7.466,0.985816,0.2
"5-Dec-11","11:01:54",2132.772901,20.81,7.528,0.985816,0.2
"5-Dec-11","11:11:54",2163.555446,20.92,7.491,0.985816,0.2
"5-Dec-11","11:21:54",2186.67326,21,7.557,0.985816,0.2
"5-Dec-11","11:31:54",2202.126344,21.1,7.631,0.985816,0.2
"5-Dec-11","11:41:54",2215.972308,21.2,7.673,0.985816,0.2
"5-Dec-11","11:51:54",2231.425393,21.3,7.574,0.985816,0.2
"5-Dec-11","12:01:54",2214.859686,21.38,7.57,0.985816,0.2
"5-Dec-11","12:11:54",2230.065521,21.48,7.525,0.985816,0.2
"5-Dec-11","12:21:54",2234.145135,21.56,7.629,0.985816,0.2
"5-Dec-11","12:31:54",2229.447398,21.65,7.534,0.985816,0.2
"5-Dec-11","12:41:54",2229.200148,21.76,7.517,0.985816,0.2
"5-Dec-11","12:51:54",2230.436395,21.8,7.339,0.985816,0.2
"5-Dec-11","13:01:54",2205.958709,21.89,7.413,0.985816,0.2
"5-Dec-11","13:11:54",2191.865496,21.97,7.454,0.985816,0.2
"5-Dec-11","13:21:54",2173.44542,22.05,7.38,0.985816,0.2
"5-Dec-11","13:31:54",2146.000742,22.18,7.555,0.985816,0.2
"5-Dec-11","13:41:54",2122.759303,22.29,7.854,0.985816,0.2
"5-Dec-11","13:51:54",2096.798121,22.38,8.071,0.985816,0.2
"5-Dec-11","14:01:54",2066.6337,22.46,8.157,0.985816,0.2
"5-Dec-11","14:11:54",2022.74694,22.55,8.171,0.985816,0.2
"5-Dec-11","14:21:54",1985.535913,22.64,8.182,0.985816,0.2
"5-Dec-11","14:31:54",1952.4045,22.71,8.022,0.985816,0.2
"5-Dec-11","14:41:54",1911.113858,22.75,7.873,0.985816,0.2
"5-Dec-11","14:51:54",1864.754605,22.81,7.997,0.985816,0.2
"5-Dec-11","15:01:54",1813.32674,22.9,8.177,0.985816,0.2
"5-Dec-11","15:11:54",1762.640623,22.99,8.217,0.985816,0.2
"5-Dec-11","15:21:54",1706.638645,23.02,8.182,0.985816,0.2
"5-Dec-11","15:31:54",1649.40042,23.06,8.139,0.985816,0.2
"5-Dec-11","15:41:54",1595.376437,23.06,8.206,0.985816,0.2
"5-Dec-11","15:51:54",1532.945976,23.14,8.198,0.985816,0.2
"5-Dec-11","16:01:54",1467.795772,23.12,8.039,0.985816,0.2
"5-Dec-11","16:11:54",1406.354308,23.14,8.172,0.985816,0.2
"5-Dec-11","16:21:54",1337.371739,23.14,8.095,0.985816,0.2
"5-Dec-11","16:31:54",1274.44678,23.12,8.038,0.985816,0.2
"5-Dec-11","16:41:54",1201.879095,23.14,8.157,0.985816,0.2
"5-Dec-11","16:51:54",1135.739894,23.12,8.005,0.985816,0.2
"5-Dec-11","17:01:54",1060.576091,23.11,7.991,0.985816,0.2
"5-Dec-11","17:11:54",988.2556558,23.09,7.962,0.985816,0.2
"5-Dec-11","17:21:54",915.3170973,23.06,7.972,0.985816,0.2
"5-Dec-11","17:31:54",840.5241686,23.02,8.043,0.985816,0.2
"5-Dec-11","17:41:54",765.8548646,23.01,8.013,0.985816,0.2
"5-Dec-11","17:51:54",687.229571,22.97,8.049,0.985816,0.2
"5-Dec-11","18:01:54",613.9201385,22.93,7.948,0.985816,0.2
"5-Dec-11","18:11:54",540.9815799,22.89,7.809,0.985816,0.2
"5-Dec-11","18:21:54",466.9303993,22.86,7.814,0.985816,0.2
"5-Dec-11","18:31:54",268.3891705,22.82,7.783,0.985816,0.2
"5-Dec-11","18:41:54",124.3664235,22.79,7.931,0.985816,0.2
"5-Dec-11","18:51:54",114.1055755,22.76,7.821,0.985816,0.2
"5-Dec-11","19:01:54",95.06737545,22.74,7.79,0.985816,0.2
"5-Dec-11","19:11:54",69.6006923,22.71,7.758,0.985816,0.2
"5-Dec-11","19:21:54",39.43627148,22.66,7.635,0.985816,0.2
"5-Dec-11","19:31:54",17.67832859,22.65,7.646,0.985816,0.2
"5-Dec-11","19:41:54",7.911979231,22.62,7.711,0.985816,0.2
"5-Dec-11","19:51:54",1.236246755,22.59,7.715,0.985816,0.2
"5-Dec-11","20:01:54",0.123624675,22.58,7.729,0.985816,0.2
"5-Dec-11","20:11:54",0,22.55,7.647,0.985816,0.2
"5-Dec-11","20:21:54",0,22.53,7.58,0.985816,0.2
"5-Dec-11","20:31:54",0,22.51,7.577,0.985816,0.2
"5-Dec-11","20:41:54",0,22.5,7.585,0.985816,0.2
"5-Dec-11","20:51:54",0,22.47,7.642,0.985816,0.2
"5-Dec-11","21:01:54",0,22.43,7.507,0.985816,0.2
"5-Dec-11","21:11:54",0,22.42,7.45,0.985816,0.2
"5-Dec-11","21:21:54",0,22.39,7.398,0.985816,0.2
"5-Dec-11","21:31:54",0,22.38,7.452,0.985816,0.2
"5-Dec-11","21:41:54",0,22.35,7.553,0.985816,0.2
"5-Dec-11","21:51:54",0,22.33,7.474,0.985816,0.2
"5-Dec-11","22:01:54",0,22.29,7.303,0.985816,0.2
"5-Dec-11","22:11:54",0,22.25,7.233,0.985816,0.2
"5-Dec-11","22:21:54",0,22.21,7.28,0.985816,0.2
"5-Dec-11","22:31:54",0,22.18,7.261,0.985816,0.2
"5-Dec-11","22:41:54",0,22.15,7.178,0.985816,0.2
"5-Dec-11","22:51:54",0,22.11,7.119,0.985816,0.2
"5-Dec-11","23:01:54",0,22.08,7.135,0.985816,0.2
"5-Dec-11","23:11:54",0,22.03,7.071,0.985816,0.2
"5-Dec-11","23:21:54",0,21.98,7.038,0.985816,0.2
"5-Dec-11","23:31:54",0,21.94,7.004,0.985816,0.2
"5-Dec-11","23:41:54",0,21.9,6.95,0.985816,0.2
"5-Dec-11","23:51:54",0,21.85,7.076,0.985816,0.2
"6-Dec-11","0:01:54",0,21.79,6.99,0.985816,0.2
